ID,generated_optimized_desc,generated_optimized_desc,fascia,corgeous,need change?
1072875,Thread rotation through the spine with an advanced exercise that twists and unfurls your breath and the soft tissue encasing your vertebrae led by Jill.,Thread rotation through the spine with an advanced exercise that twists and unfurls your breath and the soft tissue encasing your vertebrae led by Jill.,FALSE,FALSE,FALSE
7732,"Learn simple, effective techniques with Jill to restore mobility and comfort in your neck through safe massage and mobilization.","Learn simple, effective techniques with Jill to restore mobility and comfort in your neck through safe massage and mobilization.",FALSE,FALSE,FALSE
7739,"This instructional video with Jill Miller demonstrates how to access, relax, and integrate all layers of the abdominal region to enhance strength, breathing, and mobility by uncovering and treating hidden tensions.","This instructional video with Jill Miller demonstrates how to access, relax, and integrate all layers of the abdominal region to enhance strength, breathing, and mobility by uncovering and treating hidden tensions.",FALSE,FALSE,FALSE
1055937,Improve your balance and strengthen gluteal muscles with this class that focuses on single-leg work led by Jill.,Improve your balance and strengthen gluteal muscles with this class that focuses on single-leg work led by Jill.,FALSE,FALSE,FALSE
1069836,Activate your tubular core and tone deeper layers of your core with intercostal Coregeous crunches guided by Jill.,Activate your tubular core and tone deeper layers of your core with intercostal Cour-gous crunches guided by Jill.,FALSE,TRUE,TRUE
1073644,Expand your diaphragmatic mobility by mastering abdominal thoracic breathing techniques with Jill.,Expand your diaphragmatic mobility by mastering abdominal thoracic breathing techniques with Jill.,FALSE,FALSE,FALSE
7727,"Jill guides you through mobility, strength, and self-massage techniques to enhance motion and stability in your toes, feet, and ankles.","Jill guides you through mobility, strength, and self-massage techniques to enhance motion and stability in your toes, feet, and ankles.",FALSE,FALSE,FALSE
1074260,"Stretch and engage your hip flexors in this video to bring a sense of open spaciousness to your breath and inner self, guided by Jill.","Stretch and engage your hip flexors in this video to bring a sense of open spaciousness to your breath and inner self, guided by Jill.",FALSE,FALSE,FALSE
14801,Join Jill in self-massage excursions surrounding your knee and exercises to enhance its relationship with the hip and ankle.,Join Jill in self-massage excursions surrounding your knee and exercises to enhance its relationship with the hip and ankle.,FALSE,FALSE,FALSE
14804,"Join Jill in this core strengthening class exploring pure side bending movements through strength, stretch, mobility, and Roll Model Rollouts to boost your lateral awareness for Side Plank.","Join Jill in this core strengthening class exploring pure side bending movements through strength, stretch, mobility, and Roll Model Rollouts to boost your lateral awareness for Side Plank.",FALSE,FALSE,FALSE
1067905,Rock and roll with Jill by using a Coregeous ball to ease spinal mobility and find relief from low back and core discomfort in this side-lying self-massage flow.,Rock and roll with Jill by using a Cour-gous ball to ease spinal mobility and find relief from low back and core discomfort in this side-lying self-massage flow.,FALSE,TRUE,TRUE
1035275,"Join Jill in this Live Mentorship Call as she discusses plantar faciopathy, overtraining effects, shoulder anatomy related to bursitis, spinal stenosis, and more.","Join Jill in this Live Mentorship Call as she discusses plantar faciopathy, overtraining effects, shoulder anatomy related to bursitis, spinal stenosis, and more.",FALSE,FALSE,FALSE
1073984,"Send a smooth, controlled wave of movement down your spine that articulates and elongates your vertebrae and energy with Jill.","Send a smooth, controlled wave of movement down your spine that articulates and elongates your vertebrae and energy with Jill.",FALSE,FALSE,FALSE
7719,"Relieve hip tension with this massage session led by Jill Miller, perfect for addressing the stiffness that comes from extended periods of sitting, standing, walking, or running.","Relieve hip tension with this massage session led by Jill Miller, perfect for addressing the stiffness that comes from extended periods of sitting, standing, walking, or running.",FALSE,FALSE,FALSE
7599,"Learn how to improve the movement, feel, and performance of your feet and ankles with this self massage using Yoga Tune Up® therapy balls.","Learn how to improve the movement, feel, and performance of your feet and ankles with this self massage using Yoga Tune Up® therapy balls.",FALSE,FALSE,FALSE
1072893,"Learn how to reduce tension headaches, combat screen time fatigue, and improve focus by massaging the suboccipital muscles with Jill.","Learn how to reduce tension headaches, combat screen time fatigue, and improve focus by massaging the suboccipital muscles with Jill.",FALSE,FALSE,FALSE
7466,Unlock the secrets to combating eye strain with roll outs and exercises that release and strengthen the muscles around the eyes in this innovative class by Jill.,Unlock the secrets to combating eye strain with roll outs and exercises that release and strengthen the muscles around the eyes in this innovative class by Jill.,FALSE,FALSE,FALSE
1069811,Reinvigorate your diaphragm and improve spinal mobility with Jill using therapy balls to enhance fluidity of movement in this session.,Reinvigorate your diaphragm and improve spinal mobility with Jill using therapy balls to enhance fluidity of movement in this session.,FALSE,FALSE,FALSE
7517,Join Jill in this HIIT-ish class focusing on precovery and recovery rollouts while safely entering a high-intensity health-building journey.,Join Jill in this HIIT-ish class focusing on precovery and recovery rollouts while safely entering a high-intensity health-building journey.,FALSE,FALSE,FALSE
1072872,Stretch and lengthen the front of the body with a novel backbend that enhances core strength and activates the back muscles from heels to head.,Stretch and lengthen the front of the body with a novel backbend that enhances core strength and activates the back muscles from heels to head.,FALSE,FALSE,FALSE
1074113,"Train your breath with a dynamic twist and stretch in this session with Jill, rotating your torso into a pinwheel shape to enhance your respiratory core.","Train your breath with a dynamic twist and stretch in this session with Jill, rotating your torso into a pinwheel shape to enhance your respiratory core.",FALSE,FALSE,FALSE
1058376,"Jill leads a class tailored for tender feet focusing on addressing degenerative wear and tear in the foot bones joints known as Osteoarthritis, with gentle movements designed to alleviate pain and improve mobility.","Jill leads a class tailored for tender feet focusing on addressing degenerative wear and tear in the foot bones joints known as Osteoarthritis, with gentle movements designed to alleviate pain and improve mobility.",FALSE,FALSE,FALSE
1074248,Sedate overactive neck muscles and realign your shoulders to empower your core posture and respiration with this easy rollout session.,Sedate overactive neck muscles and realign your shoulders to empower your core posture and respiration with this easy rollout session.,FALSE,FALSE,FALSE
1058176,Engage and strengthen your core from the inside out with Jill in this class focused on toning and coordinating your center of strength.,Engage and strengthen your core from the inside out with Jill in this class focused on toning and coordinating your center of strength.,FALSE,FALSE,FALSE
1069646,Rolling along muscles and fascia that stitch up the spine can support rib flexibility and breath elasticity in this video with Jill.,Rolling along muscles and fasha that stitch up the spine can support rib flexibility and breath elasticity in this video with Jill.,TRUE,FALSE,TRUE
1087809,"This class with Jill focuses on identifying the major and minor players of your core, including self-myofascial release and breath-based exercises to access every molecule of your belly and being.","This class with Jill focuses on identifying the major and minor players of your core, including self-myofascial release and breath-based exercises to access every molecule of your belly and being.",TRUE,FALSE,TRUE
7720,Replenish your body post-cycling as Jill guides you through moves to bring balance and mobility back to your muscles and joints.,Replenish your body post-cycling as Jill guides you through moves to bring balance and mobility back to your muscles and joints.,FALSE,FALSE,FALSE
7729,"Unlock the secrets of self-massage using Yoga Tune Up® techniques with Jill Miller, as she guides you through broad bodywork concepts to make incorporating therapy balls a breeze.","Unlock the secrets of self-massage using Yoga Tune Up® techniques with Jill Miller, as she guides you through broad bodywork concepts to make incorporating therapy balls a breeze.",FALSE,FALSE,FALSE
9733,Join Jill to rediscover optimal performance of Triangle pose by curving around your contours and exploring new shapes within your body.,Join Jill to rediscover optimal performance of Triangle pose by curving around your contours and exploring new shapes within your body.,FALSE,FALSE,FALSE
1073407,"In this video, Jill shares tricks and tips for establishing a comfortable position to enhance your conscious relaxation practice.","In this video, Jill shares tricks and tips for establishing a comfortable position to enhance your conscious relaxation practice.",FALSE,FALSE,FALSE
7677,"Discover how to massage and mobilize your feet with therapy balls, enhancing mobility in your ankles and toes for a rejuvenating treat for your soles.","Discover how to massage and mobilize your feet with therapy balls, enhancing mobility in your ankles and toes for a rejuvenating treat for your soles.",FALSE,FALSE,FALSE
14814,Reduce back pain and improve your mobility with rollouts in this class led by Jill to bring true comfort to your back.,Reduce back pain and improve your mobility with rollouts in this class led by Jill to bring true comfort to your back.,FALSE,FALSE,FALSE
7537,Learn how to use Therapy Balls to shift stress into relaxation mode using fascial mobilization and breathwork with Jill Miller.,Learn how to use Therapy Balls to shift stress into relaxation mode using fashal mobilization and breathwork with Jill Miller.,TRUE,FALSE,TRUE
1074265,"Reposition your body and mindset with Jill's guidance in this video, as you adjust your attitude by kicking back into relaxed comfort with legs up the wall.","Reposition your body and mindset with Jill's guidance in this video, as you adjust your attitude by kicking back into relaxed comfort with legs up the wall.",FALSE,FALSE,FALSE
1068068,"Roll out tension in your high inner thigh with Jill using a therapy ball to enhance the relationship between your adductors, psoas, and breath.","Roll out tension in your high inner thigh with Jill using a therapy ball to enhance the relationship between your adductors, psoas, and breath.",FALSE,FALSE,FALSE
1074108,Learn how to set yourself up for relaxation by embracing yourself and slothfully rolling into parasympathetic dominance in this video led by Jill.,Learn how to set yourself up for relaxation by embracing yourself and slothfully rolling into parasympathetic dominance in this video led by Jill.,FALSE,FALSE,FALSE
1073807,"In this video, Jill guides you through a practice to train your soft tissue in pausing exhalation, contracting the respiratory core, and retaining your breath.","In this video, Jill guides you through a practice to train your soft tissue in pausing exhalation, contracting the respiratory core, and retaining your breath.",FALSE,FALSE,FALSE
1072862,"In this Coregeous Ball enhanced video, Jill Miller guides you to elevate your Coreso Leg Lifts by maintaining a neutral spine with added challenge.","In this Cour-gous Ball enhanced video, Jill Miller guides you to elevate your Coreso Leg Lifts by maintaining a neutral spine with added challenge.",FALSE,TRUE,TRUE
7636,"Join Jill as she guides you through a self-massage sequence focusing on the muscles of the upper back and thoracic spine, restoring fluidity and mobility to your ribs, spine, and shoulders.","Join Jill as she guides you through a self-massage sequence focusing on the muscles of the upper back and thoracic spine, restoring fluidity and mobility to your ribs, spine, and shoulders.",FALSE,FALSE,FALSE
1074258,Rock your spine side-to-side against the wall to unlock easy access to mobility and relaxation with Jill.,Rock your spine side-to-side against the wall to unlock easy access to mobility and relaxation with Jill.,FALSE,FALSE,FALSE
1069634,"Instructed by Jill, this video focuses on using a therapy ball to reset and improve the position of your shoulders, head, neck, and breath by targeting the pec pocket.","Instructed by Jill, this video focuses on using a therapy ball to reset and improve the position of your shoulders, head, neck, and breath by targeting the pec pocket.",FALSE,FALSE,FALSE
1069822,Target your upper traps with Yoga Tune Up® Therapy Balls to encourage the head and shoulders to naturally fall back into place in the Trapezius Tamer video led by Jill.,Target your upper traps with Yoga Tune Up® Therapy Balls to encourage the head and shoulders to naturally fall back into place in the Trapezius Tamer video led by Jill.,FALSE,FALSE,FALSE
7595,"Reset and relieve 'cell phone claw' with Jill as she guides you through a class to encourage mobility of your hands, fingers, and wrists.","Reset and relieve 'cell phone claw' with Jill as she guides you through a class to encourage mobility of your hands, fingers, and wrists.",FALSE,FALSE,FALSE
7521,Learn how to massage and manage recalcitrant shoulders while building endurance for longevity in this class with Jill.,Learn how to massage and manage recalcitrant shoulders while building endurance for longevity in this class with Jill.,FALSE,FALSE,FALSE
1073634,"In this segment from the Body by Breath book, Jill guides you on using a breath pattern to reboot relaxation during times of stress and overwhelm.","In this segment from the Body by Breath book, Jill guides you on using a breath pattern to reboot relaxation during times of stress and overwhelm.",FALSE,FALSE,FALSE
1055929,Unlock new possibilities for improving hip range of motion in this class dedicated to exploring every aspect of hip movement with Jill.,Unlock new possibilities for improving hip range of motion in this class dedicated to exploring every aspect of hip movement with Jill.,FALSE,FALSE,FALSE
7621,Join Jill Miller and Kelly Starrett as they explore the functionality of fascia and its influence on the body system in this enlightening Yoga Tune Up® video.,Join Jill Miller and Kelly Starrett as they explore the functionality of fasha and its influence on the body system in this enlightening Yoga Tune Up® video.,TRUE,FALSE,TRUE
7625,Learn how to apply each of the seven signature Yoga Tune Up® therapy ball techniques to every part of your body with Jill Miller and Kelly Starrett.,Learn how to apply each of the seven signature Yoga Tune Up® therapy ball techniques to every part of your body with Jill Miller and Kelly Starrett.,FALSE,FALSE,FALSE
7509,Explore safe techniques to understand and manage your IT Band and hip complex in this enlightening class with Jill.,Explore safe techniques to understand and manage your IT Band and hip complex in this enlightening class with Jill.,FALSE,FALSE,FALSE
7478,"In this online class, Jill explores the trust and self-awareness required for handstands, guiding you to build upon a solid foundation of knowing where your parts, especially your center of gravity, are located to make handstands a safe and rewarding inversion experience.","In this online class, Jill explores the trust and self-awareness required for handstands, guiding you to build upon a solid foundation of knowing where your parts, especially your center of gravity, are located to make handstands a safe and rewarding inversion experience.",FALSE,FALSE,FALSE
7586,"Join Jill and Kelly in this self-massage treatment to release tension in your upper back, shoulders, and mid back, resulting in improved muscular balance and posture.","Join Jill and Kelly in this self-massage treatment to release tension in your upper back, shoulders, and mid back, resulting in improved muscular balance and posture.",FALSE,FALSE,FALSE
1063316,"In this video, Jill guides you through using Coregeous to massage your belly and mobilize your diaphragm for improved breathing and relaxation.","In this video, Jill guides you through using Cour-gous to massage your belly and mobilize your diaphragm for improved breathing and relaxation.",FALSE,TRUE,TRUE
1069826,"In this video, Jill guides you to draw the spine into the floor to awaken the deepest layers of your abdominals and strengthen the tubular core.","In this video, Jill guides you to draw the spine into the floor to awaken the deepest layers of your abdominals and strengthen the tubular core.",FALSE,FALSE,FALSE
1073638,Dynamically stretch the breath and retone your respiratory muscles with Jill as she guides you through using a Coregeous Ball on the diaphragm fascia.,Dynamically stretch the breath and retone your respiratory muscles with Jill as she guides you through using a Cour-gous Ball on the diaphragm fascia.,TRUE,TRUE,TRUE
1039582,"Join Jill in this class focusing on parasympathetic pathways to help the shoulder girdle, spine, and hips calmly form into the iconic Downward Dog shape.","Join Jill in this class focusing on parasympathetic pathways to help the shoulder girdle, spine, and hips calmly form into the iconic Downward Dog shape.",FALSE,FALSE,FALSE
1036097,Learn to prepare your tissues for robustness and gain newfound playfulness in this class with Jill that builds up your body's tolerance and ability to jump in a safe and scaled manner.,Learn to prepare your tissues for robustness and gain newfound playfulness in this class with Jill that builds up your body's tolerance and ability to jump in a safe and scaled manner.,FALSE,FALSE,FALSE
7538,"In this class, Jill guides you through Savasana to help your body, mind, and soul experience a true sense of safety and deep rest.","In this class, Jill guides you through Savasana to help your body, mind, and soul experience a true sense of safety and deep rest.",FALSE,FALSE,FALSE
1069931,"Integrate your upper back, shoulders, and breath to strengthen your core and invigorate your plank in this Yoga Tune Up® class led by Jill.","Integrate your upper back, shoulders, and breath to strengthen your core and invigorate your plank in this Yoga Tune Up® class led by Jill.",FALSE,FALSE,FALSE
747568,Isolate and mobilize your big toe for improved whole body function as Jill guides you through special bunion exercises in this class.,Isolate and mobilize your big toe for improved whole body function as Jill guides you through special bunion exercises in this class.,FALSE,FALSE,FALSE
7511,"In this class, Jill guides you through effective movements for managing hand and finger arthritis, promoting mobility and self-care.","In this class, Jill guides you through effective movements for managing hand and finger arthritis, promoting mobility and self-care.",FALSE,FALSE,FALSE
7737,Discover how to control the pressure of a low back massage against the wall and navigate the therapy balls to your desired depth with Jill Miller.,Discover how to control the pressure of a low back massage against the wall and navigate the therapy balls to your desired depth with Jill Miller.,FALSE,FALSE,FALSE
7477,Discover the extension and benefits of Locust Pose as Jill guides you through this safe primer for a whole body backbend.,Discover the extension and benefits of Locust Pose as Jill guides you through this safe primer for a whole body backbend.,FALSE,FALSE,FALSE
1090487,"Join Jill for a swift class incorporating rollouts and unique stretches to enhance hip range of motion, especially beneficial for individuals with hip replacements.","Join Jill for a swift class incorporating rollouts and unique stretches to enhance hip range of motion, especially beneficial for individuals with hip replacements.",FALSE,FALSE,FALSE
1074111,"In this video, Jill guides you through a slow-motion moving meditation to conserve energy and maximize freedom of movement by crossing your Xs.","In this video, Jill guides you through a slow-motion moving meditation to conserve energy and maximize freedom of movement by crossing your Xs.",FALSE,FALSE,FALSE
7627,"Jill Miller and Kelly Starrett demonstrate the Global Shear technique, a fast and effective method to mobilize soft tissues and create circulation throughout your body.","Jill Miller and Kelly Starrett demonstrate the Global Shear technique, a fast and effective method to mobilize soft tissues and create circulation throughout your body.",FALSE,FALSE,FALSE
7580,"Learn the anatomy and mechanics behind the popular yoga pose, Down Dog, in this shoulder-focused class with Jill.","Learn the anatomy and mechanics behind the popular yoga pose, Down Dog, in this shoulder-focused class with Jill.",FALSE,FALSE,FALSE
7547,Nurture and strengthen the soft tissues that support your posture in this session led by Jill Miller.,Nurture and strengthen the soft tissues that support your posture in this session led by Jill Miller.,FALSE,FALSE,FALSE
7723,"Learn how to challenge your heart, breathing, strength, and endurance in this whole body class, focusing on preparing your shoulders for inversions with Jill.","Learn how to challenge your heart, breathing, strength, and endurance in this whole body class, focusing on preparing your shoulders for inversions with Jill.",FALSE,FALSE,FALSE
7773,"Jill delves into the Delphi Study on foam rolling contraindications and explores Myofascial Acoustic Compression Therapy benefits, crafting a sequence centered around Meditation in Motion.","Jill delves into the Delphi Study on foam rolling contraindications and explores Myofascial Acoustic Compression Therapy benefits, crafting a sequence centered around Meditation in Motion.",TRUE,FALSE,TRUE
7510,"Join Jill as she guides you in a variety of squats to enhance your performance and comfort levels, focusing on the challenges squats pose to the pelvis, hips, and knees.","Join Jill as she guides you in a variety of squats to enhance your performance and comfort levels, focusing on the challenges squats pose to the pelvis, hips, and knees.",FALSE,FALSE,FALSE
7576,"Join Jill as she guides you through the network of bones, joints, muscles, and fascia of your chest, refining ribcage breathing practices while incorporating back strengthening and shoulder freeing movements.","Join Jill as she guides you through the network of bones, joints, muscles, and fasha of your chest, refining ribcage breathing practices while incorporating back strengthening and shoulder freeing movements.",TRUE,FALSE,TRUE
1074106,Explore the fullest expression of your shoulder's motion with Jill as she guides you through Passive Shoulder Circles - Snow Angels to put your upper back and chest to rest.,Explore the fullest expression of your shoulder's motion with Jill as she guides you through Passive Shoulder Circles - Snow Angels to put your upper back and chest to rest.,FALSE,FALSE,FALSE
1073660,"Learn to approach your breath in three steps for enhanced clarity and control across your abdominal, thoracic, and clavicular zones with Jill's guidance.","Learn to approach your breath in three steps for enhanced clarity and control across your abdominal, thoracic, and clavicular zones with Jill's guidance.",FALSE,FALSE,FALSE
7628,"Rub, roll, and soothe your chest and shoulders with this therapy ball massage to unburden your soft tissues and enhance breath capacity.","Rub, roll, and soothe your chest and shoulders with this therapy ball massage to unburden your soft tissues and enhance breath capacity.",FALSE,FALSE,FALSE
1069935,"Experience wall slides atop a Coregeous Ball to reinforce space for breath, supporting your upper back, shoulders, and posture with Jill.","Experience wall slides atop a Cour-gous Ball to reinforce space for breath, supporting your upper back, shoulders, and posture with Jill.",FALSE,TRUE,TRUE
1058273,Explore lateral core stability and maximize awareness and strength of all oblique layers in this class with Jill.,Explore lateral core stability and maximize awareness and strength of all oblique layers in this class with Jill.,FALSE,FALSE,FALSE
7604,"Experience a reset for your body and mind with Jill's soothing Yoga Nidra practice, starting with preparatory exercises and leading into a guided 20-minute meditation.","Experience a reset for your body and mind with Jill's soothing Yoga Nidra practice, starting with preparatory exercises and leading into a guided 20-minute meditation.",FALSE,FALSE,FALSE
7582,"In this class, Jill guides you through a gentle full body lymphatic massage to help map and mobilize your lymphatic system, boosting your immune system and sense of relaxation.","In this class, Jill guides you through a gentle full body lymphatic massage to help map and mobilize your lymphatic system, boosting your immune system and sense of relaxation.",FALSE,FALSE,FALSE
1087806,"This class by Jill focuses on the impact of tensional compensations on breast tissue within the fascial network, suitable for individuals with scar tissue from chest or breast surgeries.","This class by Jill focuses on the impact of tensional compensations on breast tissue within the fascial network, suitable for individuals with scar tissue from chest or breast surgeries.",TRUE,FALSE,TRUE
7722,"Reduce upper back stiffness and expand your lung capacity with Jill's ten-minute sequence, restoring the space for fuller breath and ease of movement.","Reduce upper back stiffness and expand your lung capacity with Jill's ten-minute sequence, restoring the space for fuller breath and ease of movement.",FALSE,FALSE,FALSE
7584,"Join Jill in this class as she guides you through a deep dive of your abdominal cavity, focusing on the transversus abdominis muscle.","Join Jill in this class as she guides you through a deep dive of your abdominal cavity, focusing on the transversus abdominis muscle.",FALSE,FALSE,FALSE
7482,Explore all planes of motion with Jill as she guides you through gently folding back into your primal resting pose for a sense of easeful rejuvenation in this class focused on Child's Pose.,Explore all planes of motion with Jill as she guides you through gently folding back into your primal resting pose for a sense of easeful rejuvenation in this class focused on Child's Pose.,FALSE,FALSE,FALSE
1074480,Discover how your body responds to movement and achieve balanced side-to-side spinal motion with this slow-motion side bend self-assessment led by Jill.,Discover how your body responds to movement and achieve balanced side-to-side spinal motion with this slow-motion side bend self-assessment led by Jill.,FALSE,FALSE,FALSE
7548,"Join Jill in this session where she guides you through a gentle massage to your pelvic floor, helping you prepare for gestation, delivery, and beyond by maintaining soft tissue elasticity and mobility.","Join Jill in this session where she guides you through a gentle massage to your pelvic floor, helping you prepare for gestation, delivery, and beyond by maintaining soft tissue elasticity and mobility.",FALSE,FALSE,FALSE
7484,Discover how to leverage your wall and a brick for a unique practice that enhances joint stability and includes bonus neck work with Jill.,Discover how to leverage your wall and a brick for a unique practice that enhances joint stability and includes bonus neck work with Jill.,FALSE,FALSE,FALSE
7518,"Exploring the origins of elbow pain, Jill delves into the layers of elbow, forearm, and wrist myofascia to guide you towards the path to healing.","Exploring the origins of elbow pain, Jill delves into the layers of elbow, forearm, and wrist myofasha to guide you towards the path to healing.",TRUE,FALSE,TRUE
7608,"Immerse in a nurturing treatment focusing on the front of the neck, throat, chest, and shoulders with Jill Miller using specialized therapy balls.","Immerse in a nurturing treatment focusing on the front of the neck, throat, chest, and shoulders with Jill Miller using specialized therapy balls.",FALSE,FALSE,FALSE
1069629,Transform your energy and breath perception through lateral rib cage stretching in this rib hammock exercise with Jill.,Transform your energy and breath perception through lateral rib cage stretching in this rib hammock exercise with Jill.,FALSE,FALSE,FALSE
7699,"Enhance your golf performance by restoring balance to your body's trunk, hips, and shoulders with Jill Miller's restorative practice.","Enhance your golf performance by restoring balance to your body's trunk, hips, and shoulders with Jill Miller's restorative practice.",FALSE,FALSE,FALSE
7502,"Learn unique rolling techniques and exercises with Jill to prepare your spine for movement, motion, support, and FUNction in this engaging class.","Learn unique rolling techniques and exercises with Jill to prepare your spine for movement, motion, support, and FUNction in this engaging class.",FALSE,FALSE,FALSE
7480,Let's explore a circuitous route to honor our natural curves and bone shapes as we journey through the classic Triangle pose in this class with Jill.,Let's explore a circuitous route to honor our natural curves and bone shapes as we journey through the classic Triangle pose in this class with Jill.,FALSE,FALSE,FALSE
7725,Discover the essential structure and function of the knee joint in this straightforward visual explanation by Jill Miller.,Discover the essential structure and function of the knee joint in this straightforward visual explanation by Jill Miller.,FALSE,FALSE,FALSE
7715,"After tennis, dive into deep long stretches with Jill to release tension in the upper back, chest, and hips used during play.","After tennis, dive into deep long stretches with Jill to release tension in the upper back, chest, and hips used during play.",FALSE,FALSE,FALSE
1090492,"Jill leads a class combining strategic rollouts and exercises to integrate the pelvis and low back for stability, power, and dynamic mobility.","Jill leads a class combining strategic rollouts and exercises to integrate the pelvis and low back for stability, power, and dynamic mobility.",FALSE,FALSE,FALSE
7465,"In this class, Jill guides you through Downward Dog to explore how the shoulders connect into the fascial tracts of the back body for greater ease of range from heel to hands.","In this class, Jill guides you through Downward Dog to explore how the shoulders connect into the fascial tracts of the back body for greater ease of range from heel to hands.",TRUE,FALSE,TRUE
1081216,"Move through multiple body regions with Jill in this class to enhance your movement and connectivity throughout your joints, muscles, fascia, and body sense.","Move through multiple body regions with Jill in this class to enhance your movement and connectivity throughout your joints, muscles, fasha, and body sense.",TRUE,FALSE,TRUE
1090494,"In this video, Jill guides you through every muscle of the quadriceps group, crucial for knee health, gait, and pelvic stability.","In this video, Jill guides you through every muscle of the quadriceps group, crucial for knee health, gait, and pelvic stability.",FALSE,FALSE,FALSE
1072589,"In this segment from the Body by Breath book, Jill guides you through isometric core training that shapes your breath to support the waves of your spine more aerodynamically.","In this segment from the Body by Breath book, Jill guides you through isometric core training that shapes your breath to support the waves of your spine more aerodynamically.",FALSE,FALSE,FALSE
1101702,"In this class, Jill guides you through gentle mobilization of your ribcage and thoracic spine to relieve upper back pain and stiffness.","In this class, Jill guides you through gentle mobilization of your ribcage and thoracic spine to relieve upper back pain and stiffness.",FALSE,FALSE,FALSE
7513,This video explores how critical it is to provide relief to your feet for optimal movement throughout the body.,This video explores how critical it is to provide relief to your feet for optimal movement throughout the body.,FALSE,FALSE,FALSE
7464,"In this class, Jill will guide you to discover a new perspective on pigeon pose, emphasizing that the process is just as important as the pose itself.","In this class, Jill will guide you to discover a new perspective on pigeon pose, emphasizing that the process is just as important as the pose itself.",FALSE,FALSE,FALSE
1074461,Master the art of No-Touch Alternate Nostril Breathing with Jill as you harmonize the left and right hemispheres of your brain for a balanced mind and body.,Master the art of No-Touch Alternate Nostril Breathing with Jill as you harmonize the left and right hemispheres of your brain for a balanced mind and body.,FALSE,FALSE,FALSE
